# HOLES(7),# OF SHOTS,%(11),%(4),%(7),AVG DTP(5),AVG(1),AVG(10),AVG(12),AVG(13),AVG(14),AVG(2),AVG(3),AVG(6),AVG(8),AVG(9),FAIRWAYS HIT(11),GREENS HIT(7),MEASURED ROUNDS(1),MEASURED ROUNDS(12),MEASURED ROUNDS(2),MEASURED ROUNDS(3),MEASURED ROUNDS(6),MEASURED ROUNDS(8),MEASURED ROUNDS(9),MISSED GIR(4),MOVEMENT(1),MOVEMENT(10),MOVEMENT(11),MOVEMENT(12),MOVEMENT(13),MOVEMENT(14),MOVEMENT(2),MOVEMENT(3),MOVEMENT(4),MOVEMENT(5),MOVEMENT(6),MOVEMENT(7),MOVEMENT(8),MOVEMENT(9),PAR OR BETTER(4),PLAYER,PLAYER_ID,POSSIBLE FAIRWAYS(11),RANK(1),RANK(10),RANK(11),RANK(12),RANK(13),RANK(14),RANK(2),RANK(3),RANK(4),RANK(5),RANK(6),RANK(7),RANK(8),RANK(9),RELATIVE/PAR(7),SCRAMBLING RANK(5),SG:APR(8),SG:ARG(8),SG:OTT,TOTAL ADJUSTMENT(14),TOTAL DISTANCE (FEET)(5),TOTAL DISTANCE(10),TOTAL DRIVES(10),TOTAL ROUNDS(13),TOTAL ROUNDS(14),TOTAL SG:APP(6),TOTAL SG:ARG(3),TOTAL SG:OTT(9),TOTAL SG:P(12),TOTAL SG:PUTTING(1),TOTAL SG:PUTTING(2),TOTAL SG:T(12),TOTAL SG:T2G(12),TOTAL STROKES(13),TOTAL STROKES(14)
990.0,351.0,63.31%,59.71%,64.65%,"7' 5""",-0.427,296.6,0.179,70.24,71.077,-0.427,0.128,0.19,0.606,0.288,490.0,640.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,350.0,-3.0,-8.0,4.0,0.0,-10.0,-2.0,-3.0,0.0,3.0,-2.0,5.0,-6.0,0.0,-1.0,209.0,Chris Kirk,30926,774.0,157.0,117.0,51.0,85.0,98.0,93.0,157.0,64.0,95.0,68.0,65.0,128.0,38.0,44.0,-0.3,95.0,0.19,0.128,0.288,49.529,2593.583,32625.0,110.0,59.0,59.0,9.503,6.402,14.404,-21.36,-21.36,-21.36,8.962,30.323,4144.0,4144.0
1278.0,467.0,69.90%,61.64%,63.69%,"7' 1""",0.33,279.0,-0.018,70.39,71.119,0.33,0.317,-0.175,-0.348,-0.49,692.0,814.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,464.0,8.0,-3.0,2.0,3.0,4.0,7.0,8.0,-1.0,2.0,-12.0,-5.0,1.0,-4.0,-1.0,286.0,Brendon Todd,30927,990.0,36.0,176.0,6.0,108.0,115.0,98.0,36.0,20.0,61.0,31.0,125.0,145.0,142.0,162.0,-0.29,61.0,-0.175,0.317,-0.49,51.432,3289.667,39614.0,142.0,71.0,71.0,-12.226,22.175,-34.3,23.081,23.081,23.081,-1.27,-24.352,4998.0,4998.0
936.0,328.0,51.81%,49.86%,62.71%,"9' 4""",-0.178,312.5,-0.687,71.38,71.651,-0.178,-0.389,-0.057,-0.509,-0.063,372.0,587.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,349.0,-26.0,-1.0,-2.0,0.0,-2.0,4.0,-26.0,2.0,-2.0,-2.0,-5.0,6.0,3.0,5.0,174.0,Gary Woodland,31323,718.0,129.0,8.0,170.0,156.0,170.0,152.0,129.0,166.0,177.0,176.0,112.0,158.0,151.0,113.0,-0.29,177.0,-0.057,-0.389,-0.063,13.874,3070.75,32496.0,104.0,52.0,52.0,-2.778,-19.075,-3.1,-8.746,-8.746,-8.746,-33.685,-24.939,3712.0,3712.0
1170.0,392.0,63.55%,56.37%,65.13%,"8' 8""",0.083,290.9,-0.136,70.8,71.35,0.083,-0.489,0.257,-0.218,0.014,577.0,762.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,408.0,-12.0,-6.0,-7.0,-5.0,0.0,1.0,-12.0,1.0,-7.0,-2.0,-5.0,-2.0,-5.0,3.0,230.0,Emiliano Grillo,31646,908.0,81.0,155.0,49.0,121.0,155.0,123.0,81.0,170.0,147.0,165.0,57.0,119.0,128.0,96.0,-0.29,147.0,0.257,-0.489,0.014,35.723,3396.417,37815.0,130.0,65.0,65.0,15.648,-29.842,0.866,5.04,5.04,5.04,-8.276,-13.316,4602.0,4602.0
684.0,167.0,59.35%,57.41%,68.42%,"8' 1""",-0.243,305.1,-0.738,70.58,71.557,-0.243,-0.337,0.001,-0.495,-0.159,311.0,468.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,216.0,-8.0,3.0,4.0,-14.0,-22.0,-30.0,-8.0,-8.0,2.0,7.0,-28.0,-15.0,-23.0,-15.0,124.0,Rafael Campos,32070,524.0,138.0,43.0,109.0,160.0,136.0,147.0,138.0,159.0,136.0,142.0,105.0,36.0,150.0,127.0,-0.27,136.0,0.001,-0.337,-0.159,37.148,1343.333,22879.0,75.0,38.0,38.0,0.015,-9.764,-4.599,-7.059,-7.059,-7.059,-21.404,-14.348,2682.0,2682.0
1098.0,362.0,60.28%,58.35%,63.48%,"7' 7""",-0.043,298.2,-0.689,71.2,72.022,-0.043,-0.05,-0.296,-0.647,-0.301,516.0,697.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,401.0,3.0,-4.0,-12.0,-2.0,-4.0,-2.0,3.0,-3.0,-3.0,-2.0,-9.0,-12.0,-5.0,-2.0,234.0,Rickie Fowler,32102,856.0,109.0,99.0,100.0,157.0,167.0,166.0,109.0,110.0,111.0,83.0,134.0,149.0,155.0,146.0,-0.27,111.0,-0.296,-0.05,-0.301,52.39,2758.75,36378.0,122.0,64.0,64.0,-16.558,-2.801,-16.877,-2.39,-2.39,-2.39,-38.61,-36.219,4557.0,4557.0
792.0,240.0,62.29%,63.22%,67.05%,"6' 7""",-0.254,297.4,0.269,69.73,70.626,-0.254,0.395,0.168,0.523,-0.041,375.0,531.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,261.0,-8.0,2.0,4.0,11.0,12.0,16.0,-8.0,-3.0,5.0,4.0,13.0,38.0,10.0,1.0,165.0,Jorge Campillo,32367,602.0,140.0,108.0,65.0,76.0,39.0,49.0,140.0,11.0,38.0,5.0,70.0,58.0,42.0,109.0,-0.28,38.0,0.168,0.395,-0.041,39.551,1581.667,25870.0,87.0,44.0,44.0,6.393,15.027,-1.544,-9.64,-9.64,-9.64,10.238,19.877,3068.0,3068.0
972.0,294.0,66.13%,60.73%,65.95%,"6' 10""",-0.148,292.7,0.066,70.0,71.222,-0.148,0.117,0.263,0.214,-0.166,496.0,641.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,331.0,-2.0,2.0,3.0,-8.0,-10.0,-10.0,-2.0,-11.0,-2.0,1.0,14.0,-7.0,3.0,-7.0,201.0,Troy Merritt,32640,750.0,119.0,144.0,24.0,98.0,66.0,105.0,119.0,66.0,77.0,13.0,55.0,96.0,72.0,129.0,-0.31,77.0,0.263,0.117,-0.166,69.676,2003.25,31614.0,108.0,57.0,57.0,11.828,5.256,-7.456,-6.661,-6.661,-6.661,2.967,9.627,3990.0,3990.0
684.0,164.0,61.74%,59.47%,72.22%,"7' 7""",-0.383,300.2,0.03,69.78,71.265,-0.383,-0.108,0.557,0.413,-0.036,326.0,494.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,190.0,-7.0,17.0,-7.0,5.0,-1.0,-10.0,-7.0,9.0,-29.0,-2.0,0.0,0.0,4.0,5.0,113.0,Patton Kizzire,32757,528.0,153.0,81.0,74.0,102.0,45.0,116.0,153.0,124.0,101.0,83.0,11.0,4.0,58.0,108.0,-0.3,101.0,0.557,-0.108,-0.036,60.873,1241.167,22518.0,75.0,41.0,41.0,17.816,-3.462,-1.139,-12.248,-12.248,-12.248,0.968,13.216,2861.0,2861.0
828.0,270.0,62.72%,62.16%,64.25%,"7' 1""",0.053,300.4,-0.091,70.08,71.006,0.053,0.136,-0.318,-0.145,0.038,397.0,532.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,296.0,-10.0,-1.0,-2.0,-17.0,-19.0,-9.0,-10.0,-4.0,-2.0,-1.0,-9.0,-6.0,-12.0,-6.0,184.0,K.H. Lee,32791,633.0,87.0,78.0,60.0,116.0,75.0,89.0,87.0,60.0,52.0,31.0,140.0,135.0,115.0,93.0,-0.28,52.0,-0.318,0.136,0.038,46.292,1919.75,27633.0,92.0,50.0,50.0,-13.045,5.564,1.55,2.181,2.181,2.181,-3.748,-5.93,3504.0,3504.0
